Designator,Mid X,Mid Y,Rotation,Layer
MX10,76.2,-61.9125,180.0,bottom
MX11,95.25,-61.9125,180.0,bottom
MX12,114.3,-61.9125,180.0,bottom
MX13,133.35,-61.9125,180.0,bottom
MX14,152.4,-61.9125,180.0,bottom
MX15,180.975,-61.9125,180.0,bottom
MX16,214.3125,-61.9125,180.0,bottom
MX17,47.625,-80.9625,180.0,bottom
MX18,66.675,-80.9625,180.0,bottom
MX19,85.725,-80.9625,180.0,bottom
MX2,76.2,-38.1,180.0,bottom
MX20,104.775,-80.9625,180.0,bottom
MX21,123.825,-80.9625,180.0,bottom
MX22,142.875,-80.9625,180.0,bottom
MX23,161.925,-80.9625,180.0,bottom
MX24,185.7375,-80.9625,180.0,bottom
MX25,52.3875,-100.0125,180.0,bottom
MX26,71.4375,-100.0125,180.0,bottom
MX27,90.4875,-100.0125,180.0,bottom
MX28,109.5375,-100.0125,180.0,bottom
MX29,128.5875,-100.0125,180.0,bottom
MX3,104.775,-38.1,180.0,bottom
MX30,147.6375,-100.0125,180.0,bottom
MX31,178.59375,-100.0125,180.0,bottom
MX32,42.8625,-119.0625,180.0,bottom
MX33,61.9125,-119.0625,180.0,bottom
MX34,80.9625,-119.0625,180.0,bottom
MX35,100.0125,-119.0625,180.0,bottom
MX36,119.0625,-119.0625,180.0,bottom
MX37,138.1125,-119.0625,180.0,bottom
MX38,164.30625,-119.0625,180.0,bottom
MX39,195.2625,-128.5875,180.0,bottom
MX4,123.825,-38.1,180.0,bottom
MX40,123.825,-138.1125,180.0,bottom
MX41,147.6375,-138.1125,180.0,bottom
MX42,69.05625,-147.6375,180.0,bottom
MX43,176.2125,-147.6375,180.0,bottom
MX44,195.2625,-147.6375,180.0,bottom
MX45,214.3125,-147.6375,180.0,bottom
MX5,142.875,-38.1,180.0,bottom
MX6,161.925,-38.1,180.0,bottom
MX7,190.5,-38.1,180.0,bottom
MX8,214.3125,-38.1,180.0,bottom
MX9,57.15,-61.9125,180.0,bottom
R1,212.0,-100.2,0.0,top
R2,209.4,-106.6,0.0,top
R3,211.2,-104.8,180.0,top
R4,179.525,-29.775,90.0,top
R5,175.05,-29.9,90.0,top
R6,96.5,-29.425,0.0,top
S1,180.975,-62.54445,0.0,top
S2,178.59375,-100.64445,0.0,top
S3,69.05625,-148.26945,0.0,top
SW1,197.95,-78.1625,270.0,bottom
SW2,146.6125,-156.825,180.0,bottom
U1,214.12,-93.825,0.0,bottom
U2,90.7,-30.9875,270.0,top
U3,210.4,-102.4,0.0,top
U4,172.425,-28.535,270.0,bottom
U5,177.3,-32.575,270.0,top
U6,95.675,-29.4,270.0,bottom
U7,219.28,-73.65,0.0,top
USB1,90.4875,-23.8125,180.0,top
USB2,176.2125,-23.8125,180.0,top
