Designator,Mid X,Mid Y,Rotation,Layer
MX28,147.6375,-100.0125,180.0,bottom
MX29,166.6875,-100.0125,180.0,bottom
MX3,80.9625,-38.1,180.0,bottom
MX30,50.00625,-119.0625,180.0,bottom
MX31,80.9625,-119.0625,180.0,bottom
MX32,100.0125,-119.0625,180.0,bottom
MX33,119.0625,-119.0625,180.0,bottom
MX34,138.1125,-119.0625,180.0,bottom
MX35,157.1625,-119.0625,180.0,bottom
MX36,40.48125,-138.1125,180.0,bottom
MX37,61.9125,-138.1125,180.0,bottom
MX38,83.34375,-138.1125,180.0,bottom
MX39,135.73125,-147.6375,180.0,bottom
MX4,100.0125,-38.1,180.0,bottom
MX40,166.6875,-147.6375,180.0,bottom
MX5,119.0625,-38.1,180.0,bottom
MX6,147.6375,-38.1,180.0,bottom
MX7,166.6875,-38.1,180.0,bottom
MX8,38.1,-61.9125,180.0,bottom
MX9,57.15,-61.9125,180.0,bottom
R1,101.775,-151.925,90.0,top
R2,51.5,-30.75,90.0,top
R3,48.75,-30.75,90.0,top
R4,132.0,-36.6,0.0,bottom
R5,99.025,-157.875,0.0,top
R6,100.725,-156.375,180.0,top
S1,50.00625,-119.69445,0.0,top
S2,135.73125,-148.26945,0.0,top
SW1,74.15,-156.925,180.0,bottom
SW2,121.6375,-132.7375,270.0,bottom
U1,55.5,-28.25,90.0,bottom
U2,103.895,-145.2,0.0,bottom
U3,132.65,-30.8,270.0,top
U4,50.25,-35.5,270.0,top
U5,132.74,-36.6,270.0,top
U6,99.925,-153.925,0.0,top
USB1,133.35,-23.8125,180.0,top
USB2,50.4825,-23.8125,180.0,top
